channel,mean_dp,ci_lo,ci_hi
0,0.00020551234483718873,-0.002028828114271164,0.0024335281550884246
1,-0.006268835067749024,-0.0087854815274477,-0.004214511513710022
2,0.0005189016461372376,-0.0015318927541375156,0.002180457487702369
3,0.001518547534942627,-0.0007344086840748783,0.003677369989454746
4,0.003374752402305603,0.001682838685810566,0.005383925102651119
5,-0.0010983437299728394,-0.0025286001712083814,0.00026731371879577624
6,0.006182514131069183,0.0029545886069536212,0.008829590789973734
7,0.0026413083076477053,-0.007132732793688772,0.009046868719160548
8,-0.0024641737341880797,-0.008638958148658274,0.0024291904270648933
9,0.00021678954362869263,-0.003510097861289978,0.0035405434668064114
10,0.0030178904533386232,0.0017234693467617036,0.005135546214878558
11,0.0005167469382286072,-0.0014496285468339918,0.0028077795729041085
12,0.0007532358169555664,-0.002011432386934756,0.0042267412319779395
13,0.009373225271701813,0.002529488205909731,0.0163967202976346
14,0.007070747017860412,-0.0043949323892593355,0.01789551485329866
15,-0.006003466248512268,-0.010059148892760272,-0.0034024518728256238
16,-0.0008580774068832397,-0.0029529849439859385,0.0014062969386577585
17,-0.0023293405771255492,-0.003760887309908867,-0.0008424366265535361
18,0.0019144311547279358,0.0009549581632018092,0.002977157644927501
19,-0.0018344968557357788,-0.0033838678896427154,0.00018393497914075542
20,0.0007679805159568787,-0.0022342902421951284,0.00316653326153755
21,-0.003348726034164429,-0.005274764932692051,-0.0013458416238427162
22,-0.000419260561466217,-0.003907445184886455,0.0021173978596925724
23,-0.013082771003246308,-0.019346969053149216,-0.008082041814923287
24,0.00525350421667099,0.0017001971229910855,0.009727487117052066
25,0.0014170512557029724,0.00021081488579511643,0.0030885501205921173
26,-0.0008393704891204834,-0.0025854602828621863,0.0010495381802320453
27,-0.012098310887813568,-0.016968542113900184,-0.008098945207893853
28,0.000383506715297699,-0.0014301966503262517,0.0021758842468261714
29,-0.000605657696723938,-0.0019884136319160456,0.0006495315209031096
30,0.0015822172164916993,0.00012676581740379364,0.0032169290259480444
31,2.6334822177886962e-05,-0.00146105732768774,0.001139121502637862
32,-0.008176884055137635,-0.012237632311880586,-0.003811578229069712
33,-0.005348709225654602,-0.0070815133675932885,-0.0033497077226638796
34,0.00025022029876708984,-0.002369766794145107,0.003180594258010383
35,0.0031073004007339477,0.0012339366227388383,0.005137879811227321
36,0.0023990705609321593,0.0009322535991668703,0.003973510228097436
37,-0.002948567271232605,-0.006399007327854633,3.549691289663131e-05
38,0.006127117574214936,0.0053308245167136194,0.0072039545327425
39,0.0019118621945381164,-0.0003488317877054214,0.004140649996697903
40,-0.0010708600282669067,-0.00431320510804653,0.0012741051614284513
41,0.005664925277233124,0.0021541771665215498,0.008791861273348328
42,0.005021765828132629,0.00023166142404079475,0.009007631279528139
43,-0.004366771876811981,-0.01389363225549459,0.003407881855964655
44,0.0032304614782333375,0.00020511101931333772,0.0061196066439151734
45,-0.0024037137627601624,-0.003932594247162342,-0.000962735190987587
46,-0.00961841493844986,-0.01378599900752306,-0.005787550061941152
47,0.0015593081712722777,5.918912589550082e-05,0.002702130265533924
48,-0.000901871919631958,-0.003009799309074879,0.0013034185767173763
49,0.0014406859874725342,-0.0005917958915233612,0.0044636016339063625
50,-0.003141547739505768,-0.009219704121351242,0.0009824915602803218
51,0.00455942153930664,-0.0017704601213335979,0.011720011085271835
52,0.008446314930915832,0.004052368104457855,0.013045692704617974
53,-0.004398550093173981,-0.0064560195431113245,-0.0021301093697547926
54,-0.008207431435585022,-0.0125866237282753,-0.0038252196088433294
55,-0.006785455346107483,-0.01094694674015045,-0.0027104604989290244
56,-0.0005976065993309021,-0.0024437870085239405,0.0011203434690833076
57,-0.003551284968852997,-0.004729179181158541,-0.0021403632685542107
58,-0.0008613899350166321,-0.0028985676541924466,0.0020517979189753513
59,0.002377435564994812,0.0010880254209041601,0.0036090508103370665
60,-0.00577172040939331,-0.01138179287314415,4.052706062792857e-05
61,-0.0016166478395462035,-0.002588791623711586,-0.0005764804407954216
62,0.0008419573307037354,-0.00019340578466653816,0.0016826237365603445
63,-0.0015653759241104127,-0.0024206633120775214,-0.0008748113736510277
